Table S3. Ant presence and absence at sites sampled for frog alkaloids. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
saporito_siteID,longitude,latitude,alk_siteID,acromyrmex_coronatus,acromyrmex_echinatior,acromyrmex_volcanus,anochetus_diegensis,anochetus_jtl001,anochetus_mayri,anochetus_minans,aphaenogaster_araneoides,aphaenogaster_phalangium,atta_cephalotes,atta_colombica,atta_mexicana,brachymyrmex_cavernicola,brachymyrmex_coactus,brachymyrmex_heeri,brachymyrmex_jtl003,brachymyrmex_jtl004,brachymyrmex_jtl005,brachymyrmex_jtl007,brachymyrmex_longicornis,brachymyrmex_nebulosus,brachymyrmex_obscurior,brachymyrmex_pictus,brachymyrmex_santschii,megalomyrmex_foreli,megalomyrmex_incisus,megalomyrmex_megadrifti,megalomyrmex_modestus,megalomyrmex_mondabora,megalomyrmex_mondaboroides,megalomyrmex_nocarina,megalomyrmex_silvestrii,megalomyrmex_symmetochus,monomorium_ebeninum,monomorium_floricola,monomorium_pharaonis,nylanderia_austroccidua,nylanderia_guatemalensis,nylanderia_jtl001,nylanderia_jtl007,nylanderia_jtl010,nylanderia_jtl013,nylanderia_steinheili,nylanderia_vividula,solenopsis_azteca,solenopsis_bicolor,solenopsis_brevicornis,solenopsis_castor,solenopsis_geminata,solenopsis_jtl001,solenopsis_jtl002,solenopsis_jtl003,solenopsis_jtl007,solenopsis_jtl014,solenopsis_jtl021,solenopsis_jtl025,solenopsis_jtl027,solenopsis_jtl031,solenopsis_picea,solenopsis_pollux,solenopsis_pygmaea,solenopsis_striata,solenopsis_succinea,solenopsis_vinsoni,solenopsis_zeteki,tetramorium_bicarinatum,tetramorium_lanuginosum,tetramorium_simillimum
saporito_site01,-81.5606,9.0976,alk_site01,0,0,1,0,0,1,0,1,0,1,1,0,1,0,1,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1
saporito_site02,-81.8963,9.1706,alk_site02,0,0,1,0,0,1,0,1,0,1,1,0,1,0,1,1,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1
saporito_site03,-82.0974,8.9124,alk_site03,0,0,1,0,0,1,0,1,0,1,1,0,1,1,1,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,1
saporito_site04,-82.1053,8.9052,alk_site04,0,0,1,0,0,1,0,1,0,1,1,0,1,1,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,1
saporito_site05,-82.1145,8.8928,alk_site05,0,0,1,0,0,1,0,1,0,1,1,0,1,1,1,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,1
saporito_site06,-82.1028,8.8886,alk_site06,0,0,1,0,0,1,0,1,0,1,1,0,1,1,1,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,1
saporito_site07,-82.1338,8.9017,alk_site07,0,0,1,0,0,1,0,1,0,1,1,0,1,1,1,1,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,1,0,0,1
saporito_site08,-82.246,8.9876,alk_site08,0,0,1,0,0,1,0,1,0,1,1,0,1,1,1,1,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,1,1,0,0,1
saporito_site09,-82.2578,8.9876,alk_site09,0,0,1,0,0,1,0,1,0,1,1,0,1,1,1,1,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,1,1,0,0,1
saporito_site10,-82.0409,9.1471,alk_site10,0,0,1,0,0,1,0,1,0,1,1,0,1,0,1,1,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,1
