"","alk_site01","alk_site02","alk_site03","alk_site04","alk_site05","alk_site06","alk_site07","alk_site08","alk_site09","alk_site10","alk_site11","alk_site12","alk_site13","alk_site14","alk_site15","alk_site16","alk_site17","alk_site18","alk_site19","alk_site20","alk_site21","alk_site22","alk_site23","alk_site24","alk_site25","alk_site26","alk_site27","alk_site28","alk_site29","alk_site30","alk_site31","alk_site32","alk_site33","alk_site34","alk_site35","alk_site36","alk_site37","alk_site38","alk_site39","alk_site40","alk_site41","alk_site42","alk_site43","alk_site44","alk_site45","alk_site46"
"alk_site01",0,0.0612244897959183,0.12,0.16,0.12,0.12,0.169811320754717,0.185185185185185,0.185185185185185,0.0980392156862745,0.163636363636364,0.137254901960784,0.163636363636364,0.163636363636364,0.222222222222222,0.102040816326531,0.137254901960784,0.207547169811321,0.185185185185185,0.185185185185185,0.222222222222222,0.222222222222222,0.254237288135593,0.263157894736842,0.241379310344828,0.241379310344828,0.275862068965517,0.236363636363636,0.298245614035088,0.275862068965517,0.290322580645161,0.254237288135593,0.266666666666667,0.3125,0.290322580645161,0.301587301587302,0.303030303030303,0.292307692307692,0.261538461538461,0.454545454545455,0.323943661971831,0.342465753424658,0.333333333333333,0.333333333333333,0.342465753424658,0.351351351351351
"alk_site02",0.0612244897959183,0,0.102040816326531,0.102040816326531,0.102040816326531,0.102040816326531,0.153846153846154,0.169811320754717,0.169811320754717,0.04,0.148148148148148,0.08,0.148148148148148,0.148148148148148,0.207547169811321,0.0833333333333334,0.12,0.192307692307692,0.169811320754717,0.169811320754717,0.207547169811321,0.207547169811321,0.206896551724138,0.25,0.228070175438597,0.228070175438597,0.298245614035088,0.222222222222222,0.285714285714286,0.263157894736842,0.245901639344262,0.275862068965517,0.254237288135593,0.333333333333333,0.344262295081967,0.354838709677419,0.323076923076923,0.3125,0.3125,0.421052631578947,0.342857142857143,0.361111111111111,0.352112676056338,0.351351351351351,0.361111111111111,0.36986301369863
"alk_site03",0.12,0.102040816326531,0,0.04,0,0,0.0566037735849056,0.0740740740740741,0.0740740740740741,0.0588235294117647,0.0909090909090909,0.0588235294117647,0.0909090909090909,0.0909090909090909,0.148148148148148,0.0612244897959183,0.0588235294117647,0.0943396226415094,0.111111111111111,0.111111111111111,0.111111111111111,0.111111111111111,0.186440677966102,0.157894736842105,0.172413793103448,0.172413793103448,0.206896551724138,0.127272727272727,0.192982456140351,0.172413793103448,0.225806451612903,0.220338983050847,0.2,0.3125,0.290322580645161,0.301587301587302,0.303030303030303,0.292307692307692,0.261538461538461,0.402597402597403,0.323943661971831,0.342465753424658,0.333333333333333,0.333333333333333,0.342465753424658,0.351351351351351
"alk_site04",0.16,0.102040816326531,0.04,0,0.04,0.04,0.0943396226415094,0.111111111111111,0.111111111111111,0.0588235294117647,0.127272727272727,0.0588235294117647,0.127272727272727,0.127272727272727,0.185185185185185,0.102040816326531,0.0980392156862745,0.132075471698113,0.148148148148148,0.148148148148148,0.148148148148148,0.148148148148148,0.186440677966102,0.192982456140351,0.206896551724138,0.206896551724138,0.241379310344828,0.163636363636364,0.228070175438597,0.206896551724138,0.225806451612903,0.254237288135593,0.233333333333333,0.28125,0.290322580645161,0.301587301587302,0.272727272727273,0.261538461538461,0.292307692307692,0.376623376623377,0.295774647887324,0.315068493150685,0.305555555555556,0.333333333333333,0.315068493150685,0.324324324324324
"alk_site05",0.12,0.102040816326531,0,0.04,0,0,0.0566037735849056,0.0740740740740741,0.0740740740740741,0.0588235294117647,0.0909090909090909,0.0588235294117647,0.0909090909090909,0.0909090909090909,0.148148148148148,0.0612244897959183,0.0588235294117647,0.0943396226415094,0.111111111111111,0.111111111111111,0.111111111111111,0.111111111111111,0.186440677966102,0.157894736842105,0.172413793103448,0.172413793103448,0.206896551724138,0.127272727272727,0.192982456140351,0.172413793103448,0.225806451612903,0.220338983050847,0.2,0.3125,0.290322580645161,0.301587301587302,0.303030303030303,0.292307692307692,0.261538461538461,0.402597402597403,0.323943661971831,0.342465753424658,0.333333333333333,0.333333333333333,0.342465753424658,0.351351351351351
"alk_site06",0.12,0.102040816326531,0,0.04,0,0,0.0566037735849056,0.0740740740740741,0.0740740740740741,0.0588235294117647,0.0909090909090909,0.0588235294117647,0.0909090909090909,0.0909090909090909,0.148148148148148,0.0612244897959183,0.0588235294117647,0.0943396226415094,0.111111111111111,0.111111111111111,0.111111111111111,0.111111111111111,0.186440677966102,0.157894736842105,0.172413793103448,0.172413793103448,0.206896551724138,0.127272727272727,0.192982456140351,0.172413793103448,0.225806451612903,0.220338983050847,0.2,0.3125,0.290322580645161,0.301587301587302,0.303030303030303,0.292307692307692,0.261538461538461,0.402597402597403,0.323943661971831,0.342465753424658,0.333333333333333,0.333333333333333,0.342465753424658,0.351351351351351
"alk_site07",0.169811320754717,0.153846153846154,0.0566037735849056,0.0943396226415094,0.0566037735849056,0.0566037735849056,0,0.0877192982456141,0.0877192982456141,0.111111111111111,0.103448275862069,0.111111111111111,0.103448275862069,0.103448275862069,0.157894736842105,0.115384615384615,0.0740740740740741,0.107142857142857,0.12280701754386,0.12280701754386,0.12280701754386,0.12280701754386,0.193548387096774,0.166666666666667,0.180327868852459,0.180327868852459,0.213114754098361,0.137931034482759,0.2,0.180327868852459,0.2,0.225806451612903,0.174603174603175,0.283582089552239,0.261538461538461,0.272727272727273,0.27536231884058,0.264705882352941,0.235294117647059,0.35,0.297297297297297,0.289473684210526,0.306666666666667,0.282051282051282,0.315789473684211,0.324675324675325
"alk_site08",0.185185185185185,0.169811320754717,0.0740740740740741,0.111111111111111,0.0740740740740741,0.0740740740740741,0.0877192982456141,0,0,0.127272727272727,0.0169491525423728,0.127272727272727,0.0169491525423728,0.0169491525423728,0.0689655172413793,0.132075471698113,0.0909090909090909,0.0175438596491229,0.0344827586206896,0.0344827586206896,0.0344827586206896,0.0344827586206896,0.111111111111111,0.0819672131147541,0.0967741935483871,0.0967741935483871,0.129032258064516,0.0508474576271186,0.114754098360656,0.0967741935483871,0.151515151515151,0.142857142857143,0.125,0.235294117647059,0.212121212121212,0.223880597014925,0.228571428571429,0.217391304347826,0.188405797101449,0.333333333333333,0.253333333333333,0.272727272727273,0.263157894736842,0.265822784810127,0.272727272727273,0.282051282051282
"alk_site09",0.185185185185185,0.169811320754717,0.0740740740740741,0.111111111111111,0.0740740740740741,0.0740740740740741,0.0877192982456141,0,0,0.127272727272727,0.0169491525423728,0.127272727272727,0.0169491525423728,0.0169491525423728,0.0689655172413793,0.132075471698113,0.0909090909090909,0.0175438596491229,0.0344827586206896,0.0344827586206896,0.0344827586206896,0.0344827586206896,0.111111111111111,0.0819672131147541,0.0967741935483871,0.0967741935483871,0.129032258064516,0.0508474576271186,0.114754098360656,0.0967741935483871,0.151515151515151,0.142857142857143,0.125,0.235294117647059,0.212121212121212,0.223880597014925,0.228571428571429,0.217391304347826,0.188405797101449,0.333333333333333,0.253333333333333,0.272727272727273,0.263157894736842,0.265822784810127,0.272727272727273,0.282051282051282
"alk_site10",0.0980392156862745,0.04,0.0588235294117647,0.0588235294117647,0.0588235294117647,0.0588235294117647,0.111111111111111,0.127272727272727,0.127272727272727,0,0.107142857142857,0.0384615384615384,0.107142857142857,0.107142857142857,0.163636363636364,0.04,0.0769230769230769,0.148148148148148,0.127272727272727,0.127272727272727,0.163636363636364,0.163636363636364,0.166666666666667,0.206896551724138,0.186440677966102,0.186440677966102,0.254237288135593,0.178571428571429,0.241379310344828,0.220338983050847,0.206349206349206,0.233333333333333,0.213114754098361,0.292307692307692,0.301587301587302,0.3125,0.283582089552239,0.272727272727273,0.272727272727273,0.384615384615385,0.305555555555556,0.324324324324324,0.315068493150685,0.315789473684211,0.324324324324324,0.333333333333333
