"","alk_site01","alk_site02","alk_site03","alk_site04","alk_site05","alk_site06","alk_site07","alk_site08","alk_site09","alk_site10","alk_site11","alk_site12","alk_site13","alk_site14","alk_site15","alk_site16","alk_site17","alk_site18","alk_site19","alk_site20","alk_site21","alk_site22","alk_site23","alk_site24","alk_site25","alk_site26","alk_site27","alk_site28","alk_site29","alk_site30","alk_site31","alk_site32","alk_site33","alk_site34","alk_site35","alk_site36","alk_site37","alk_site38","alk_site39","alk_site40","alk_site41","alk_site42","alk_site43","alk_site44","alk_site45","alk_site46"
"alk_site01",0,0.5,0.6,0.666666666666667,0.6,0.6,0.5,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.5,0.714285714285714,0.5,0.5,0.428571428571429,0.6,0.714285714285714,0.2,0.5,0.75,0.5,0.428571428571429,0.6,0.6,0.714285714285714,0.428571428571429,0.666666666666667,0.666666666666667,0.666666666666667,0.5,0.333333333333333,0.5,0.5,0.6,0.555555555555556,0.777777777777778,0.555555555555556,0.5,0.5,0.555555555555556,0.428571428571429,0.5,0.5,0.5,0.5
"alk_site02",0.5,0,0.555555555555556,0.4,0.333333333333333,0.333333333333333,0.5,0.4,0.4,0.4,0.4,0.5,0.272727272727273,0.5,0.5,0.454545454545455,0.142857142857143,0.454545454545455,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.0909090909090909,0.555555555555556,0.142857142857143,0.454545454545455,0.454545454545455,0.4,0.6,0.6,0.333333333333333,0.2,0.166666666666667,0.333333333333333,0.285714285714286,0.230769230769231,0.384615384615385,0.230769230769231,0.333333333333333,0.166666666666667,0.230769230769231,0.272727272727273,0.333333333333333,0.333333333333333,0.5,0.166666666666667
"alk_site03",0.6,0.555555555555556,0,0.428571428571429,0.333333333333333,0.333333333333333,0.2,0.428571428571429,0.428571428571429,0.428571428571429,0.428571428571429,0.2,0.25,0.333333333333333,0.2,0.25,0.454545454545455,0.25,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.5,0,0.454545454545455,0.25,0.25,0.428571428571429,0.428571428571429,0.142857142857143,0.333333333333333,0.428571428571429,0.555555555555556,0.333333333333333,0.454545454545455,0.4,0.4,0.6,0.333333333333333,0.555555555555556,0.6,0.25,0.555555555555556,0.333333333333333,0.6,0.555555555555556
"alk_site04",0.666666666666667,0.4,0.428571428571429,0,0.428571428571429,0.428571428571429,0.333333333333333,0.5,0.5,0.25,0.25,0.333333333333333,0.555555555555556,0.4,0.333333333333333,0.555555555555556,0.5,0.555555555555556,0.428571428571429,0.6,0.6,0.6,0.333333333333333,0.428571428571429,0.5,0.555555555555556,0.555555555555556,0.5,0.25,0.5,0.4,0.25,0.2,0.6,0.5,0.636363636363636,0.454545454545455,0.454545454545455,0.4,0.6,0.454545454545455,0.555555555555556,0.4,0.6,0.666666666666667,0.6
"alk_site05",0.6,0.333333333333333,0.333333333333333,0.428571428571429,0,0.333333333333333,0.2,0.142857142857143,0.428571428571429,0.428571428571429,0.428571428571429,0.2,0.25,0.555555555555556,0.2,0.5,0.454545454545455,0.25,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.25,0.333333333333333,0.454545454545455,0.25,0.5,0.142857142857143,0.428571428571429,0.428571428571429,0.333333333333333,0.428571428571429,0.555555555555556,0.333333333333333,0.454545454545455,0.4,0.4,0.4,0.555555555555556,0.333333333333333,0.4,0.25,0.333333333333333,0.555555555555556,0.2,0.333333333333333
"alk_site06",0.6,0.333333333333333,0.333333333333333,0.428571428571429,0.333333333333333,0,0.2,0.428571428571429,0.142857142857143,0.428571428571429,0.428571428571429,0.2,0.25,0.555555555555556,0.2,0.5,0.454545454545455,0.5,0.333333333333333,0.555555555555556,0.333333333333333,0.555555555555556,0.5,0.333333333333333,0.454545454545455,0.5,0.5,0.428571428571429,0.428571428571429,0.428571428571429,0.555555555555556,0.428571428571429,0.333333333333333,0.555555555555556,0.454545454545455,0.4,0.4,0.4,0.333333333333333,0.333333333333333,0.4,0.5,0.555555555555556,0.333333333333333,0.6,0.333333333333333
"alk_site07",0.5,0.5,0.2,0.333333333333333,0.2,0.2,0,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0,0.428571428571429,0.5,0,0.428571428571429,0.6,0.428571428571429,0.2,0.5,0.5,0.5,0.428571428571429,0.2,0.6,0.428571428571429,0.428571428571429,0.333333333333333,0.333333333333333,0.333333333333333,0.5,0.333333333333333,0.5,0.5,0.6,0.555555555555556,0.555555555555556,0.555555555555556,0.5,0.5,0.555555555555556,0.428571428571429,0.5,0.5,0.5,0.5
"alk_site08",0.666666666666667,0.4,0.428571428571429,0.5,0.142857142857143,0.428571428571429,0.333333333333333,0,0.25,0.25,0.25,0.333333333333333,0.333333333333333,0.4,0.333333333333333,0.333333333333333,0.333333333333333,0.111111111111111,0.428571428571429,0.2,0.2,0.2,0.333333333333333,0.428571428571429,0.333333333333333,0.111111111111111,0.333333333333333,0,0.25,0.25,0.4,0.5,0.6,0.2,0.333333333333333,0.272727272727273,0.272727272727273,0.272727272727273,0.6,0.2,0.272727272727273,0.333333333333333,0.2,0.4,0.333333333333333,0.2
"alk_site09",0.666666666666667,0.4,0.428571428571429,0.5,0.428571428571429,0.142857142857143,0.333333333333333,0.25,0,0.25,0.25,0.333333333333333,0.333333333333333,0.4,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.428571428571429,0.4,0.2,0.4,0.555555555555556,0.428571428571429,0.333333333333333,0.333333333333333,0.333333333333333,0.25,0.25,0.25,0.6,0.5,0.4,0.4,0.333333333333333,0.272727272727273,0.272727272727273,0.272727272727273,0.4,0.2,0.272727272727273,0.555555555555556,0.4,0.2,0.666666666666667,0.2
"alk_site10",0.666666666666667,0.4,0.428571428571429,0.25,0.428571428571429,0.428571428571429,0.333333333333333,0.25,0.25,0,0,0.333333333333333,0.555555555555556,0.4,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.428571428571429,0.4,0.4,0.4,0.333333333333333,0.428571428571429,0.333333333333333,0.333333333333333,0.333333333333333,0.25,0.25,0.25,0.6,0.25,0.4,0.4,0.5,0.454545454545455,0.454545454545455,0.454545454545455,0.6,0.4,0.454545454545455,0.555555555555556,0.4,0.4,0.666666666666667,0.4
