"","alk_site01","alk_site02","alk_site03","alk_site04","alk_site05","alk_site06","alk_site07","alk_site08","alk_site09","alk_site10","alk_site11","alk_site12","alk_site13","alk_site14","alk_site15","alk_site16","alk_site17","alk_site18","alk_site19","alk_site20","alk_site21","alk_site22","alk_site23","alk_site24","alk_site25","alk_site26","alk_site27","alk_site28","alk_site29","alk_site30","alk_site31","alk_site32","alk_site33","alk_site34","alk_site35","alk_site36","alk_site37","alk_site38","alk_site39","alk_site40","alk_site41","alk_site42","alk_site43","alk_site44","alk_site45","alk_site46"
"alk_site01",0,37.7487632638599,62.4645939339852,63.5502906624335,64.9744182347584,63.9409218508183,66.6332722745896,76.2746930351476,77.5543459081438,53.0328758647383,66.6047458564288,62.169200890466,67.8201778341249,68.8607706323019,76.4591152773376,64.1501296633013,66.8342336821021,72.8776664571906,72.6848750534957,75.4191792283971,76.1768684756232,75.8489865376381,83.3109284656427,80.9654699399438,83.6027580347217,85.2746670695143,89.419341562559,80.8548578851363,86.2062319982722,95.446505491715,101.105115809729,111.196343326312,112.263343372574,154.483495705224,150.09809175497,154.654357692844,171.882785257484,159.960382264386,157.737126127581,241.475475444052,227.495086903623,241.063656203848,253.761962997155,266.497862098274,306.086090049762,298.697658246381
"alk_site02",37.7487632638599,0,36.2313844585814,37.3958950167629,39.1052925724619,38.7086416268097,39.6879977349532,43.4685618900672,44.6178488512372,16.0919747496663,29.7446483239157,24.4370059787222,30.6773681348921,31.7180595323173,39.3205573441984,27.2616947037776,29.2340558075895,36.1165323749125,36.000628704469,38.7070034174051,39.4597898199026,39.0075700775731,46.9299604672307,44.3724491660809,46.8442663996211,48.6110396415067,52.7425491445976,43.1065989489607,48.4948425345691,57.7108219410842,63.3563967919216,73.5730649273602,74.5236926047056,117.283506122154,113.159802182023,117.693103698707,135.199507062872,122.384365219201,121.542371515061,204.468886122685,191.685563099498,204.875439115039,217.654228014177,232.734963784699,270.155557213767,262.54979400873
"alk_site03",62.4645939339852,36.2313844585814,0,1.18106031594404,2.87809111300463,2.71287769624217,4.17311674076085,18.3447724898939,19.5076171366983,26.8324563598933,26.4932784528723,32.8843718884891,28.4456746866768,28.7977776285915,48.2396811180142,42.8950666785266,39.1231583324434,48.2109817180694,48.4781873869377,50.0335545613945,50.493282437558,49.6281758857768,57.0247532985336,54.3358004790126,55.3353924515715,57.0542662287456,60.0829033202707,42.6791437916013,44.5299533742056,54.7043230955819,58.1452104764183,70.3649363005678,66.6125170471554,114.10298209767,111.750200226815,115.893169933862,133.899733919503,115.825041327742,122.940290899246,199.587717262091,191.928775950402,203.522956965873,216.350401075806,237.642234591443,268.701763261516,260.439836690034
"alk_site04",63.5502906624335,37.3958950167629,1.18106031594404,0,1.71004636369834,1.86668265028825,3.15585624193512,17.9717404806724,19.0984305781024,27.820117041811,27.0372336609379,33.6431113695078,28.968095611945,29.2836300585376,48.7878896738501,43.6799840384203,39.8088359055551,48.8493920315847,49.1245778590896,50.6340988658845,51.0815602603831,50.2123934202794,57.5358244535163,54.8622862746444,55.8108786789942,57.5160497677702,60.4911867258107,42.992260224862,44.6943761884679,54.8091598498855,58.1473805165394,70.3717325375469,66.4701259921508,113.990539107253,111.700884261292,115.823785725161,133.821237086887,115.596099437054,122.965427115767,199.337981667629,191.850893409149,203.386414396406,216.209052148123,237.694186857689,268.535811763633,260.255154413551
"alk_site05",64.9744182347584,39.1052925724619,2.87809111300463,1.71004636369834,0,1.36794919912564,2.34048745304679,17.8869306785861,18.9496469305212,29.4176851152342,28.1582124361337,35.0031665342591,30.0594991213349,30.3299617520919,49.8893931603908,45.0625947742778,41.080962846392,50.0601343354754,50.3446760257338,51.7983636442724,52.2306998575142,51.3570805674912,58.5864089398252,55.9334317275703,56.8176531531086,58.504593348072,61.4098722066675,43.8003044950907,45.302705418316,55.3268664257252,58.5196299920504,70.7434270284094,66.6304224279668,114.178903731213,111.980376907718,116.07379129581,134.055346954059,115.613957541246,123.348573727246,199.316164506251,192.080391276835,203.530432766392,216.345371706821,238.105799999763,268.634074703266,260.326313478588
"alk_site06",63.9409218508183,38.7086416268097,2.71287769624217,1.86668265028825,1.36794919912564,0,3.70507667395114,19.2045782621076,20.2804489171399,29.5451316598729,28.8953129593127,35.4983600969118,30.8219839586594,31.1292664879067,50.6448617292485,45.5292309181748,41.6744802377074,50.7158405765969,50.9912001223774,52.4981639959356,52.9443256122766,52.0747020043159,59.3846537921229,56.7147186567307,57.6504783044694,59.351457861326,62.3079652003106,44.7703699492585,46.3864916336159,56.4563281146362,59.712124912362,71.9371315057015,67.8972911575613,115.43912039934,113.210305525477,117.314018064303,135.301273286161,116.920759525065,124.53973344826,200.632850727213,193.328557765993,204.805156933887,217.622403945449,239.286658926004,269.921952878757,261.621296325801
"alk_site07",66.6332722745896,39.6879977349532,4.17311674076085,3.15585624193512,2.34048745304679,3.70507667395114,0,15.5968169060045,16.6405503528709,29.1402769307117,26.8322532907026,34.0710584800761,28.6828016732093,28.8888731644312,48.4860072366045,44.1553747611513,39.9653334125256,48.8244435792376,49.1241130383065,50.4862940997519,50.894911939201,50.015563673401,57.1032781211085,54.4807394657747,55.2784957518461,56.9408886582772,59.7597689850366,42.0455022235496,43.3602029220282,53.306179311345,56.4001608885679,68.6196495678734,64.3999475671199,111.95490399008,109.799396291085,113.877873560855,131.850715021545,113.327762654071,121.223620067403,197.017103787831,189.87142844837,201.284966787117,214.096707142511,235.992735614923,266.370799828619,258.053902023314
"alk_site08",76.2746930351476,43.4685618900672,18.3447724898939,17.9717404806724,17.8869306785861,19.2045782621076,15.5968169060045,0,1.29635612110261,28.6742767017016,19.2071758860719,28.3375323711,20.3072270026322,19.9525014568645,38.2260969519371,37.6719005863455,32.2956696242814,39.7392149428112,40.1318993437941,40.7881589900427,41.0134307649436,40.1293943613068,46.0013239663528,43.6608109097504,43.8437308698014,45.2978933057375,47.4819228279471,29.5285465752731,29.4827829967767,38.7928369835321,41.3384365472822,53.4985658992916,48.8872438815834,96.4436972913785,94.4129553643107,98.4430533501133,116.386505016564,97.7311531878026,106.033376869664,181.429656558253,174.388901032567,185.723584615947,198.529906322828,220.812055918931,250.78465208654,242.460424753891
"alk_site09",77.5543459081438,44.6178488512372,19.5076171366983,19.0984305781024,18.9496469305212,20.2804489171399,16.6405503528709,1.29635612110261,0,29.7033358863354,19.8372140697486,29.0135626919714,20.8372687860453,20.4256192243218,38.3594884620942,38.2097154361048,32.757254236463,40.0032807747782,40.404313577076,40.9767786040277,41.1792571200794,40.2988624528281,45.993592368503,43.6985913803722,43.7986057467795,45.2186842854657,47.3036328860889,29.3908686751651,29.0906205256859,38.2245248568061,40.6164900398332,52.7446878776191,47.9728845027159,95.5192292489387,93.5493553856879,97.5578961967119,115.48528490424,96.7051896718119,105.236660680285,180.378454997593,173.474824680839,184.759028172856,197.560241242837,220.007184868517,249.79226073392,241.454202161454
"alk_site10",53.0328758647383,16.0919747496663,26.8324563598933,27.820117041811,29.4176851152342,29.5451316598729,29.1402769307117,28.6742767017016,29.7033358863354,0,13.7000476879656,10.6108251115336,14.7939593855885,15.8362734142362,27.9888652699888,18.3415577081919,17.1494885959232,26.0656023967764,26.14595690267,28.4895438779949,29.1577953897809,28.4608887831904,36.7070934838955,33.9229235976086,35.8898693975266,37.7439342678183,41.635140724447,28.7189562601825,33.6027092221078,43.4556111550252,48.7882822820344,59.7595193786473,59.6789582389904,104.152022510515,100.486333698433,104.95328854488,122.758491534881,108.439758523083,109.822664721496,191.358325203573,180.025887976086,192.769122869947,205.602645685514,222.801223722927,258.183199049155,250.365474464414
