"","alk_site01","alk_site02","alk_site03","alk_site04","alk_site05","alk_site06","alk_site07","alk_site08","alk_site09","alk_site10","alk_site11","alk_site12","alk_site13","alk_site14","alk_site15","alk_site16","alk_site17","alk_site18","alk_site19","alk_site20","alk_site21","alk_site22","alk_site23","alk_site24","alk_site25","alk_site26","alk_site27","alk_site28","alk_site29","alk_site30","alk_site31","alk_site32","alk_site33","alk_site34","alk_site35","alk_site36","alk_site37","alk_site38","alk_site39","alk_site40","alk_site41","alk_site42","alk_site43","alk_site44","alk_site45","alk_site46"
"alk_site01",0,0.375,0.384615384615385,0.384615384615385,0.4,0.384615384615385,0.333333333333333,0.466666666666667,0.466666666666667,0.384615384615385,0.5,0.384615384615385,0.466666666666667,0.428571428571429,0.333333333333333,0.285714285714286,0.444444444444444,0.578947368421053,0.230769230769231,0.375,0.578947368421053,0.411764705882353,0.5,0.692307692307692,0.636363636363636,0.466666666666667,0.375,0.384615384615385,0.466666666666667,0.333333333333333,0.333333333333333,0.333333333333333,0.411764705882353,0.428571428571429,0.545454545454545,0.5,0.625,0.529411764705882,0.473684210526316,0.571428571428571,0.523809523809524,0.411764705882353,0.411764705882353,0.375,0.75,0.647058823529412
"alk_site02",0.375,0,0.368421052631579,0.368421052631579,0.375,0.368421052631579,0.444444444444444,0.333333333333333,0.428571428571429,0.368421052631579,0.363636363636364,0.263157894736842,0.333333333333333,0.5,0.466666666666667,0.4,0.25,0.36,0.263157894736842,0.363636363636364,0.36,0.304347826086957,0.181818181818182,0.684210526315789,0.285714285714286,0.428571428571429,0.363636363636364,0.368421052631579,0.428571428571429,0.444444444444444,0.333333333333333,0.238095238095238,0.304347826086957,0.4,0.357142857142857,0.363636363636364,0.454545454545455,0.304347826086957,0.36,0.4,0.259259259259259,0.304347826086957,0.391304347826087,0.363636363636364,0.714285714285714,0.391304347826087
"alk_site03",0.384615384615385,0.368421052631579,0,0.25,0.384615384615385,0.375,0.2,0.222222222222222,0.333333333333333,0.25,0.368421052631579,0.25,0.222222222222222,0.411764705882353,0.333333333333333,0.176470588235294,0.428571428571429,0.272727272727273,0.25,0.263157894736842,0.272727272727273,0.3,0.368421052631579,0.375,0.44,0.333333333333333,0.263157894736842,0.25,0.222222222222222,0.2,0.333333333333333,0.333333333333333,0.4,0.411764705882353,0.36,0.473684210526316,0.473684210526316,0.4,0.363636363636364,0.529411764705882,0.416666666666667,0.2,0.5,0.263157894736842,0.818181818181818,0.6
"alk_site04",0.384615384615385,0.368421052631579,0.25,0,0.384615384615385,0.375,0.2,0.333333333333333,0.333333333333333,0.125,0.263157894736842,0.375,0.333333333333333,0.411764705882353,0.333333333333333,0.294117647058823,0.428571428571429,0.454545454545455,0.375,0.368421052631579,0.454545454545455,0.5,0.368421052631579,0.5,0.52,0.444444444444444,0.368421052631579,0.25,0.222222222222222,0.333333333333333,0.333333333333333,0.222222222222222,0.2,0.529411764705882,0.44,0.578947368421053,0.473684210526316,0.4,0.363636363636364,0.529411764705882,0.416666666666667,0.4,0.4,0.368421052631579,0.818181818181818,0.6
"alk_site05",0.4,0.375,0.384615384615385,0.384615384615385,0,0.384615384615385,0.333333333333333,0.333333333333333,0.466666666666667,0.384615384615385,0.5,0.384615384615385,0.333333333333333,0.571428571428571,0.111111111111111,0.428571428571429,0.444444444444444,0.473684210526316,0.384615384615385,0.375,0.473684210526316,0.411764705882353,0.5,0.692307692307692,0.636363636363636,0.333333333333333,0.5,0.230769230769231,0.466666666666667,0.333333333333333,0.333333333333333,0.466666666666667,0.529411764705882,0.428571428571429,0.545454545454545,0.5,0.5,0.529411764705882,0.578947368421053,0.571428571428571,0.523809523809524,0.411764705882353,0.411764705882353,0.5,0.5,0.647058823529412
"alk_site06",0.384615384615385,0.368421052631579,0.375,0.375,0.384615384615385,0,0.2,0.444444444444444,0.222222222222222,0.375,0.368421052631579,0.25,0.222222222222222,0.529411764705882,0.333333333333333,0.411764705882353,0.333333333333333,0.363636363636364,0.25,0.368421052631579,0.272727272727273,0.4,0.578947368421053,0.5,0.44,0.333333333333333,0.368421052631579,0.375,0.444444444444444,0.333333333333333,0.444444444444444,0.444444444444444,0.3,0.529411764705882,0.44,0.368421052631579,0.473684210526316,0.5,0.454545454545455,0.529411764705882,0.333333333333333,0.4,0.3,0.263157894736842,0.818181818181818,0.4
"alk_site07",0.333333333333333,0.444444444444444,0.2,0.2,0.333333333333333,0.2,0,0.294117647058823,0.176470588235294,0.2,0.222222222222222,0.2,0.176470588235294,0.5,0.272727272727273,0.25,0.4,0.333333333333333,0.333333333333333,0.222222222222222,0.333333333333333,0.473684210526316,0.444444444444444,0.466666666666667,0.5,0.411764705882353,0.222222222222222,0.2,0.294117647058823,0.285714285714286,0.411764705882353,0.294117647058823,0.263157894736842,0.5,0.5,0.444444444444444,0.555555555555556,0.473684210526316,0.428571428571429,0.5,0.391304347826087,0.368421052631579,0.368421052631579,0.222222222222222,0.8,0.473684210526316
"alk_site08",0.466666666666667,0.333333333333333,0.222222222222222,0.333333333333333,0.333333333333333,0.444444444444444,0.294117647058823,0,0.2,0.222222222222222,0.238095238095238,0.333333333333333,0.3,0.368421052631579,0.428571428571429,0.263157894736842,0.304347826086957,0.25,0.333333333333333,0.238095238095238,0.25,0.272727272727273,0.238095238095238,0.555555555555556,0.333333333333333,0.3,0.333333333333333,0.111111111111111,0.1,0.294117647058823,0.3,0.3,0.363636363636364,0.368421052631579,0.259259259259259,0.333333333333333,0.333333333333333,0.181818181818182,0.416666666666667,0.263157894736842,0.230769230769231,0.181818181818182,0.272727272727273,0.333333333333333,0.538461538461538,0.363636363636364
"alk_site09",0.466666666666667,0.428571428571429,0.333333333333333,0.333333333333333,0.466666666666667,0.222222222222222,0.176470588235294,0.2,0,0.222222222222222,0.142857142857143,0.333333333333333,0.2,0.368421052631579,0.428571428571429,0.263157894736842,0.217391304347826,0.333333333333333,0.444444444444444,0.238095238095238,0.25,0.454545454545455,0.428571428571429,0.555555555555556,0.333333333333333,0.4,0.238095238095238,0.222222222222222,0.2,0.294117647058823,0.4,0.3,0.181818181818182,0.473684210526316,0.333333333333333,0.238095238095238,0.333333333333333,0.272727272727273,0.333333333333333,0.263157894736842,0.230769230769231,0.363636363636364,0.272727272727273,0.142857142857143,0.692307692307692,0.272727272727273
"alk_site10",0.384615384615385,0.368421052631579,0.25,0.125,0.384615384615385,0.375,0.2,0.222222222222222,0.222222222222222,0,0.157894736842105,0.375,0.333333333333333,0.411764705882353,0.333333333333333,0.176470588235294,0.333333333333333,0.363636363636364,0.375,0.263157894736842,0.363636363636364,0.4,0.368421052631579,0.5,0.44,0.333333333333333,0.263157894736842,0.125,0.222222222222222,0.2,0.444444444444444,0.222222222222222,0.3,0.411764705882353,0.44,0.473684210526316,0.473684210526316,0.4,0.454545454545455,0.411764705882353,0.416666666666667,0.4,0.4,0.263157894736842,0.818181818181818,0.5
